title,location,Price,Rating
Al Rashid Hotel,Wadi Musa,JOD32,1
sand magic camp,Wadi Rum,JOD15,1
Nights With Bedouin & Jeep Tours,Wadi Rum,JOD10,5
Wadi Rum waves camp,Wadi Rum,JOD24,2
Ein lahda camp-site,Dana,JOD25,1
King desert,Wadi Rum,JOD26,3
Oriental Chalet,Al Rama,JOD218,2
Jad Hotel Suites,Amman,JOD72,4
Gedara Guesthouse: enjoy unforgettable scenes,Umm Qays,JOD104,4
Wadi rum echo camp,Wadi Rum,JOD10,5
b&b petrafarmhouse,Wadi Musa,JOD50,4
Casablanca furnished apartment-كازابلانكا للشقق الفندقية,Aqaba,JOD41,3
Petra Guests Hotel,Wadi Musa,JOD19,4
Bedouin Roads,Wadi Rum,JOD10,0
Landscape Rum Camp,Wadi Rum,JOD15,4
Al Fawanes Hotel Apartments,Amman,JOD26,1
Over Mountains Hotel,Wadi Musa,JOD41,3
JAD chalet,Al Kafrayn,JOD221,3
Red Sea Dive Center,Aqaba,JOD75,0
Wateen Home,Wadi Musa,JOD14,5
Wadi Rum desert breeze,Wadi Rum,JOD14,1
Sultan Home,Wadi Musa,JOD23,1
Wadi Rum desert breeze,Wadi Rum,JOD14,4
Sultan Home,Wadi Musa,JOD23,0
Mussa Spring Hotel,Wadi Musa,JOD10,4
Omar Apartment,Wadi Musa,JOD25,5
Golden Palace Hotel Apartments,Amman,JOD35,2
Barta Valley Tourism Camp,Madaba,JOD50,0
Wadi rum secrets camp,Wadi Rum,JOD6,4
Wadi rum adventure tours &camp,Wadi Rum,JOD18,3
Bright stars rum camp,Wadi Rum,JOD24,1
Sindyan Resort,Amman,JOD69,4
Granada Suites Hotel,Amman,JOD45,1
"Shahrazad desert, Wadi Rum",Wadi Rum,JOD20,2
Jubaiha Apartment-Fmilies only,Amman,JOD46,5
Cleopetra Hotel,Wadi Musa,JOD29,3
Amer 1 Hotel,Aqaba,JOD25,2
33hotelamman,Amman,JOD40,3
Petra Main Gate,Wadi Musa,JOD30,1
Basher & Bedouin camp,Wadi Rum,JOD12,3
wadi rum sand storm camp,Wadi Rum,JOD24,0
NATROSE HOTEL APARTMENT,Amman,JOD27,3
Mesha Stele Hotel Apartments,Madaba,JOD32,4
Masaya Al Deyar Apartments,Amman,JOD29,0
Al Anbat Hotel & Restaurant,Wadi Musa,JOD60,3
Two Bedroom Shmeisani Apartment,Amman,JOD60,5
Bedouin Expedition,Wadi Rum,JOD10,3
Riviera Hotel,Amman,JOD28,5
Zarb Desert Camp,Wadi Rum,JOD11,0
Madina Suites,Amman,JOD35,4
Serenity hotel,Aqaba,JOD22,1
Petra Town Check-In,Wadi Musa,JOD30,2
Bronze Mountains Camp Wadi Rum,Aqaba,JOD23,5
bedouin life camp,Wadi Rum,JOD27,1
Rum camp and tours,Wadi Rum,JOD6,4
Horizon,Wadi Musa,JOD25,4
Bouded Homestay,Wadi Musa,JOD16,3
Jordan Tracks Bedouin Camp,Wadi Rum,JOD25,1
Over theater,Amman,JOD35,0
Million star camp,Wadi Rum,JOD3,0
Wadi Rum Maracanã camp,Aqaba,JOD25,2
Happy Family House,Wadi Musa,JOD30,0
LEXASH,Amman,JOD31,3
Nomads Rum Camp,Wadi Rum,JOD20,1
Double Key by HR,Amman,JOD100,2
Wadi Rum Desert Base Camp,Wadi Rum,JOD16,2
Ammarin Bedouin Camp,Wadi Musa,JOD70,5
Hawa Amman Hotel Downtown,Amman,JOD21,2
Furnished Apartments Near McDonald's Al-Madina Al-Monawara St,Amman,JOD18,2
Panorama Al-Jabel,Az Zarqa,JOD50,2
Nael Bedouin camp,Wadi Rum,JOD45,1
Bonita Inn,Amman,JOD51,1
Bonita Inn,Amman,JOD51,1
SHMEISANI COZY APARTMENT,Amman,JOD70,1
Farmer stay hostel,Wadi Musa,JOD37,4
Red Mountain Camp,Wadi Rum,JOD10,0
raja Bedouin camp,Wadi Rum,JOD4,5
1 bedroom apartment Tala bay,Aqaba,JOD120,5
Shurooq Shams Hotel & Tours By Sunrise Hotel,Amman,JOD17,3
Razan Hotel,Amman,JOD25,2
Rana Palace,Amman,JOD35,2
Bedouin Mores camp,Wadi Rum,JOD20,4
فيلا للايجار بالقرب من محميه غابات عجلون,Ajloun,JOD150,0
Darkum Apartment,Wadi Musa,JOD47,0
Siveen Hotel,Amman,JOD30,1
**** 2 bedroom apartment _ fully furnished for daily rent,Aqaba,JOD78,1
